id,dataset,repetition,both_valid,same_prompt_sha256,same_input_token_sha256,same_candidate_ids,same_candidate_ids_sha256,same_input_token_count,max_logit_abs_difference,logits_within_1e_5,same_label,exact_maximum_tie,label_mismatch_with_tie,label_mismatch_without_tie,candidate_boundary_checked_both
jcola:in_domain_valid:3824,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3835,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3843,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3847,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3879,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3919,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4010,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4025,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4028,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4034,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:42,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4269,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4344,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:450,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4644,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4729,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4740,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4743,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4847,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:4862,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5302,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5349,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5373,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5493,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5515,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5677,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5685,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5741,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5836,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:584,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:5860,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:6016,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:6427,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:646,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:6504,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:6834,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:6875,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:6974,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7018,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7084,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7088,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7163,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7193,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7197,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7204,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:721,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:727,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7272,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7468,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7501,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7588,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7635,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7645,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7757,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7803,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7846,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7890,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:7898,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:795,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8076,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8159,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8232,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8341,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8388,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8563,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:8584,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:940,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:10003,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8651,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8667,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8720,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8733,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8736,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8744,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8746,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8767,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8771,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8795,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8803,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8805,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8841,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8848,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8871,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8874,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8892,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8906,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8911,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8933,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8934,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8945,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8946,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8968,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8976,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8981,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:8988,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9001,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9022,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9033,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9042,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9049,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9054,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9059,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9071,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9081,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9087,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9108,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9129,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9136,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9150,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9156,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9189,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9204,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9226,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9317,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9325,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9338,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9342,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9349,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9350,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9371,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9373,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9382,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9395,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9419,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9464,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9515,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9517,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9525,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9528,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9536,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9546,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9549,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9552,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9587,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9597,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9612,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9618,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9636,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9638,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9646,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9651,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9652,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9654,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9661,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9664,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9668,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9726,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9741,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9756,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9763,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9776,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9798,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9819,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9833,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9873,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9886,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9898,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9900,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9905,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9910,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9916,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9918,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9919,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9928,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9931,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9939,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:out_of_domain_valid:9980,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10002,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10003,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10004,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10006,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10016,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10019,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10024,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10027,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10041,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10043,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:10051,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8939,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8940,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8947,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8959,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8961,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8978,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8996,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:8998,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9009,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9011,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9026,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9031,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9038,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9040,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9041,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9043,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9047,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9049,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9054,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9057,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9059,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9065,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9066,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9071,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9075,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9080,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9084,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9097,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9098,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9102,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9118,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9119,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9120,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9124,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9140,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9156,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9158,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9171,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9177,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9178,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9179,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9196,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9198,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9202,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9215,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9220,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9230,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcommonsenseqa:valid:9236,JCommonsenseQA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
